Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Deaths 1M pop,Total Tests,Population,Continent,% Deaths COVID/Population,Date vaccinated update,Fully vaccinated,% Fully vaccinated,Year_GDP_update,GDP_Annual (M),Temperature_1961_1990
LESOTHO,21643,+3,658,,12596,+47,8389,,304,241226,2164934,Africa,0.03,02/11/2021,339506,0.16,2020,1615,11.85
SOMALIA,21269,,1180,,9927,,10162,,72,239292,16483927,Africa,0.01,02/11/2021,304737,0.02,2020,4305,27.05
BARBADOS,18459,,158,,11506,,6795,,549,392318,287845,North America,0.05,02/11/2021,126355,0.44,2020,3822,26.00
MAURITIUS,18101,,194,,1854,,16053,,152,358675,1274589,Africa,0.02,02/11/2021,848419,0.67,2020,9561,22.40
CONGO,17670,,278,,12421,,4971,,49,188207,5699114,Africa,0.0,02/11/2021,0,0.0,2020,9530,
NICARAGUA,16699,,207,,4225,,12267,,31,,6729788,North America,0.0,02/11/2021,362357,0.06,2020,11049,24.90
TAIWAN,16428,+7,847,,15474,+8,107,,35,7566561,23874393,Asia,0.0,02/11/2021,7896013,0.34,2020,584973,
MALI,16148,,568,,14679,,901,,27,456469,21027779,Africa,0.0,02/11/2021,262521,0.01,2020,15228,28.25
ANDORRA,15572,+56,130,,15276,+34,166,4,1679,193595,77430,Europe,0.17,02/11/2021,48309,0.62,2020,2502,07.60
ICELAND,13923,+94,34,+1,12951,+88,938,5,99,1152851,344202,Europe,0.01,02/11/2021,278667,0.76,2020,19025,01.75
DJIBOUTI,13487,+1,183,+1,13259,,45,,182,237497,1007177,Africa,0.02,02/11/2021,26087,0.03,2020,2963,28.00
BRUNEI,13446,+125,89,,11923,+200,1434,6,201,516880,443074,Asia,0.02,02/11/2021,254727,0.55,2020,10509,26.85
EQUATORIAL GUINEA,13377,,167,,12894,,316,1,114,242340,1464346,Africa,0.01,02/11/2021,189571,0.14,2020,8787,24.55
SAINT LUCIA,12610,+24,259,+1,12033,+39,318,6,1402,87142,184748,North America,0.14,02/11/2021,38023,0.21,2020,1416,25.50
SOUTH SUDAN,12421,,133,,12008,,280,2,12,247059,11368953,Africa,0.0,02/11/2021,49532,0.0,2018,3945,
HONG KONG,12353,+3,213,,12034,,106,,28,26815363,7578227,Asia,0.0,10/05/2021,689257,0.09,2020,303491,
GAMBIA,9973,,341,,9618,,14,3,136,118928,2507113,Africa,0.01,02/11/2021,216356,0.09,2020,1630,27.50
NEW ZEALAND,6832,+109,28,,4742,+11,2062,5,6,4162831,5002100,Australia/Oceania,0.0,02/11/2021,3179817,0.63,2020,185183,10.55
NIGER,6399,,216,,6041,,142,4,9,172497,25372587,Africa,0.0,02/11/2021,397212,0.02,2020,12048,27.15
SIERRA LEONE,6396,,121,,4393,,1882,,15,160729,8193326,Africa,0.0,02/11/2021,110744,0.01,2020,3384,26.05
GRENADA,5850,,198,,5540,+12,112,,1749,81912,113220,North America,0.17,02/11/2021,31417,0.28,2020,954,26.65
SAN MARINO,5509,,92,,5383,,34,2,2704,82601,34026,Europe,0.27,02/11/2021,22218,0.65,2019,1444,11.85
ST. VINCENT GRENADINES,5012,,69,,3914,,1029,2,619,86787,111411,North America,0.06,02/11/2021,17755,0.16,2020,709,
DOMINICA,4823,,32,,4337,,454,,443,92406,72225,North America,0.04,02/11/2021,24756,0.34,2020,411,22.35
COMOROS,4281,+9,147,,4078,+5,56,,164,,894302,Africa,0.02,02/11/2021,162098,0.19,2020,1068,25.55
SAO TOME AND PRINCIPE,3715,,56,,3623,+2,36,,249,14689,224588,Africa,0.02,02/11/2021,28493,0.13,2020,418,
LIECHTENSTEIN,3598,+4,61,,3474,+3,63,2,1594,49126,38274,Europe,0.16,02/11/2021,24439,0.63,2019,5972,05.65
MONACO,3424,+6,36,,3358,+7,30,2,909,54960,39614,Europe,0.09,02/11/2021,23308,0.59,2019,6631,13.55
SAINT KITTS AND NEVIS,2686,,25,,2525,,136,1,466,52204,53702,North America,0.05,02/11/2021,24281,0.46,2020,812,24.50
BHUTAN,2622,+1,3,,2611,+1,8,,4,1204522,782953,Asia,0.0,02/11/2021,518135,0.67,2020,2191,07.40
SOLOMON ISLANDS,20,,0,,20,,0,,,4500,709335,Australia/Oceania,0.0,02/11/2021,31054,0.05,2020,1358,25.65
PALAU,8,,0,,8,,0,,,11133,18209,Australia/Oceania,0.0,02/11/2021,0,0.0,2020,225,27.60
MARSHALL ISLANDS,4,,0,,4,,0,,,,59724,Australia/Oceania,0.0,02/11/2021,0,0.0,2020,214,27.40
SAMOA,3,,0,,3,,0,,,,200175,Australia/Oceania,0.0,02/11/2021,81809,0.41,2020,711,26.70
MICRONESIA,1,,0,,1,,0,,,,116633,Australia/Oceania,0.0,02/11/2021,0,0.0,2019,365,
CHINA,97423,+109,4636,,91787,+21,1000,37,3,160000000,1439323776,Asia,0.0,02/11/2021,1070386000,0.76,2020,13028009,06.95
